x,y,yaw,0.266,2.151,0.002
-4223.207,1711.39,-1.503,-65.781,15.104,0.048
-4224.554,1711.643,-1.504,-69.981,15.494,0.036
-4225.88,1712.092,-1.505,-73.335,17.837,0.021
-4227.316,1712.239,-1.505,-77.331,16.724,0.018
-4228.827,1712.561,-1.506,-81.519,17.583,0.007
-4230.159,1712.798,-1.507,-83.237,17.436,-0.008
-4231.488,1713.147,-1.51,-84.683,18.463,-0.028
-4232.787,1713.432,-1.512,-85.597,18.678,-0.048
-4234.372,1713.802,-1.515,-89.324,19.746,-0.069
-4236.119,1714.215,-1.518,-94.178,21.091,-0.085
-4237.723,1714.565,-1.52,-96.84,21.596,-0.088
-4239.164,1714.905,-1.523,-97.425,21.911,-0.111
-4240.868,1715.193,-1.526,-100.64,21.661,-0.123
-4242.271,1715.503,-1.528,-100.286,21.665,-0.121
-4243.991,1716.042,-1.53,-103.244,24.03,-0.116
-4245.695,1716.482,-1.532,-105.601,25.023,-0.119
-4247.381,1716.873,-1.53,-107.432,25.371,-0.09
-4249.107,1717.269,-1.53,-109.403,25.711,-0.072
-4250.768,1717.578,-1.529,-110.406,25.11,-0.049
-4252.455,1717.807,-1.524,-111.542,23.777,-0.001
-4254.176,1718.087,-1.519,-112.85,23.161,0.047
-4255.85,1718.192,-1.515,-113.485,20.841,0.084
-4257.519,1718.293,-1.509,-113.976,18.816,0.127
-4259.347,1718.464,-1.503,-116.033,17.811,0.164
-4261.056,1718.686,-1.499,-116.567,17.474,0.181
-4262.779,1718.854,-1.494,-117.16,16.627,0.198
-4264.443,1719.125,-1.49,-117.058,16.979,0.21
-4266.221,1719.237,-1.488,-118.145,15.637,0.197
-4267.912,1719.451,-1.487,-118.18,15.536,0.177
-4269.577,1719.617,-1.487,-117.939,14.959,0.15
-4271.159,1719.778,-1.488,-116.885,14.422,0.122
-4272.773,1719.943,-1.49,-116.313,13.993,0.088
-4274.457,1720.425,-1.489,-116.539,16.904,0.078
-4276.167,1720.677,-1.492,-117.007,17.003,0.042
-4277.436,1720.863,-1.494,-112.855,16.422,0.016
-4279.258,1721.388,-1.497,-115.023,19.412,-0.016
-4280.983,1721.553,-1.5,-115.861,18.259,-0.044
-4282.266,1721.663,-1.503,-112.027,16.705,-0.065
-4284.008,1721.842,-1.508,-113.496,16.089,-0.101
-4285.816,1722.027,-1.511,-115.408,15.623,-0.117
-4287.908,1722.124,-1.514,-119.975,14.327,-0.121
-4289.834,1722.432,-1.513,-122.161,15.392,-0.102
-4291.541,1722.61,-1.513,-121.758,14.965,-0.081
-4293.745,1723.449,-1.513,-126.547,21.395,-0.066
-4295.424,1724.136,-1.512,-125.22,25.321,-0.055
