x,y,t,0.429,2.464,-0.002
-4347.147,-1317.717,1.555,21.189,174.386,-0.009
-4346.991,-1315.218,1.554,19.684,174.462,-0.016
-4346.752,-1312.769,1.554,19.251,174.018,-0.014
-4346.512,-1310.286,1.555,18.885,173.991,-0.005
-4346.221,-1307.841,1.556,19.108,173.571,0.007
-4345.755,-1305.438,1.555,21.088,172.777,-0.006
-4345.278,-1302.928,1.554,22.903,173.209,-0.009
-4344.687,-1300.468,1.554,25.623,173.069,-0.004
-4344.283,-1297.937,1.555,26.008,173.666,0.002
-4343.805,-1295.402,1.555,27.101,174.224,0.005
-4343.27,-1292.745,1.556,28.627,175.95,0.01
-4342.806,-1290.203,1.556,29.19,176.247,0.01
-4342.544,-1287.648,1.557,27.592,176.634,0.018
-4342.114,-1285.224,1.557,27.969,175.609,0.016
-4341.67,-1282.835,1.557,28.422,174.37,0.009
-4341.316,-1280.292,1.556,27.888,174.91,-0.002
-4340.936,-1277.951,1.555,27.699,173.291,-0.005
-4340.612,-1275.549,1.556,26.962,172.533,0.002
-4340.348,-1273.093,1.557,25.72,172.442,0.008
-4340.002,-1270.603,1.556,25.489,172.707,0
-4339.73,-1268.042,1.555,24.545,173.677,-0.011
-4339.322,-1265.521,1.555,25.136,174.088,-0.007
-4338.951,-1263.091,1.556,25.258,173.505,-0.001
-4338.565,-1260.511,1.555,25.518,174.542,-0.003
-4338.285,-1258.031,1.557,24.65,174.41,0.009
-4337.966,-1255.601,1.556,24.308,173.77,0.005
-4337.788,-1253.046,1.554,22.566,174.524,-0.014
-4337.44,-1250.733,1.553,22.829,172.668,-0.021
-4337.119,-1247.643,1.551,22.775,179.082,-0.042
-4336.681,-1244.69,1.55,23.935,183.14,-0.049
-4336.111,-1241.918,1.55,26.277,184.749,-0.041
-4335.572,-1239.076,1.549,27.967,186.837,-0.04
-4335.016,-1236.318,1.549,29.576,187.749,-0.031
-4334.553,-1233.513,1.551,29.995,189.018,-0.013
-4334.003,-1230.779,1.551,31.248,189.358,-0.007
-4333.535,-1228.141,1.553,31.464,188.668,0.012
-4332.983,-1225.614,1.556,32.517,186.941,0.04
-4332.7,-1222.986,1.556,30.652,186.505,0.033
-4332.304,-1220.457,1.556,30.225,185.111,0.029
-4332.044,-1217.998,1.557,28.456,183.194,0.03
-4331.705,-1215.579,1.556,27.756,181.156,0.017
-4331.387,-1213.287,1.556,26.949,178.111,0.017
-4331.143,-1210.926,1.555,25.504,176.225,0.008
-4330.962,-1208.596,1.555,23.606,174.289,0.002
-4330.779,-1206.226,1.556,22.025,173.061,0.014
-4330.424,-1203.942,1.557,22.436,171.123,0.018
-4330.137,-1201.509,1.557,22.095,170.997,0.018
-4329.863,-1199.013,1.557,21.663,171.545,0.011
-4329.45,-1196.654,1.556,22.73,170.608,0.002
-4329.123,-1194.172,1.557,22.756,171.062,0.01
-4328.671,-1191.699,1.556,24.055,171.369,0.003
-4328.196,-1189.342,1.556,25.415,170.431,-0.002
-4327.654,-1186.884,1.554,27.257,170.665,-0.02
-4327.075,-1184.442,1.553,29.213,170.713,-0.025
-4326.531,-1181.92,1.553,30.511,171.565,-0.025
-4326.066,-1179.443,1.553,30.814,171.836,-0.014
-4325.622,-1177.059,1.553,30.855,171.106,-0.015
-4325.267,-1174.509,1.554,29.971,172.19,-0.007
-4324.981,-1172.011,1.554,28.5,172.586,0.002
-4324.582,-1169.422,1.554,28.422,173.863,0.002
-4324.325,-1166.896,1.554,26.883,174.29,-0.002
-4323.872,-1163.669,1.555,27.596,181.879,0.002
-4323.484,-1160.514,1.555,27.535,187.615,0.006
-4323.119,-1157.542,1.555,27.242,190.617,0.003
-4322.606,-1154.759,1.555,28.511,191.229,0.004
-4322.217,-1151.973,1.555,28.33,191.786,0.005
-4321.83,-1149.293,1.557,28.142,191.171,0.023
-4321.562,-1146.511,1.557,26.758,191.698,0.016
-4321.279,-1143.821,1.557,25.746,191.198,0.015
-4320.97,-1141.34,1.557,25.141,188.618,0.016
-4320.586,-1138.906,1.558,25.388,185.945,0.021
-4320.468,-1136.362,1.557,22.877,184.785,0.01
-4320.037,-1133.988,1.555,23.951,182.044,-0.01
-4319.588,-1131.579,1.555,25.044,180.069,-0.009
-4319.091,-1129.157,1.554,26.476,178.523,-0.016
-4318.412,-1126.899,1.554,29.573,175.515,-0.017
-4317.735,-1124.565,1.553,32.193,173.728,-0.018
-4317.117,-1122.12,1.553,33.822,173.355,-0.024
-4316.545,-1119.625,1.552,34.741,173.537,-0.03
-4316.008,-1117.118,1.553,35.159,173.829,-0.012
-4315.687,-1114.668,1.554,33.293,173.492,0
-4315.316,-1112.113,1.555,32.212,174.271,0.007
-4315.077,-1109.771,1.555,29.94,172.758,0.006
-4314.926,-1107.227,1.555,27.085,173.536,0.004
-4314.72,-1104.673,1.555,25.226,174.31,0.006
-4314.505,-1102.18,1.553,23.725,174.335,-0.016
-4314.245,-1099.747,1.553,22.917,173.744,-0.008
-4314.085,-1097.324,1.553,21.195,173.135,-0.008
-4313.887,-1094.941,1.553,20.12,172.207,-0.005
-4313.485,-1092.635,1.554,21.291,170.618,0.001
-4313.137,-1090.217,1.555,21.743,170.421,0.01
-4312.662,-1087.799,1.556,23.436,170.249,0.015
-4312.118,-1085.246,1.557,25.597,171.494,0.025
-4311.65,-1082.791,1.557,26.647,171.549,0.023
-4311.206,-1080.287,1.558,27.3,172.097,0.027
-4310.72,-1077.839,1.557,28.29,171.987,0.016
