Index,Time,debug_X,debug_Y,((robot).imu)->data[10]
75060,75.060325,185.300003,-2226.3999,11.0797119
75061,75.061323,185.300003,-2226.3999,11.0797119
75062,75.062341,185.300003,-2226.3999,11.0797119
75063,75.063323,185.300003,-2226.3999,11.0797119
75064,75.064327,185.300003,-2226.3999,11.0797119
75065,75.065325,185.300003,-2226.3999,11.0797119
75066,75.066364,185.300003,-2226.3999,11.0797119
75067,75.067322,185.300003,-2226.3999,11.0797119
75068,75.068326,185.300003,-2226.3999,11.0797119
75069,75.069324,185.300003,-2226.3999,11.0797119
75070,75.070327,185.300003,-2226.3999,11.0797119
75071,75.071325,185.300003,-2226.3999,11.0797119
75072,75.072328,185.300003,-2226.3999,11.0797119
75073,75.073327,185.300003,-2226.3999,11.0797119
75074,75.074322,185.300003,-2226.3999,11.0797119
75075,75.075329,185.300003,-2226.3999,11.0797119
75076,75.076323,185.300003,-2226.3999,11.0797119
75077,75.077343,185.300003,-2226.3999,11.0797119
75078,75.078326,185.300003,-2226.3999,11.0797119
75079,75.079329,185.300003,-2226.3999,11.0797119
75080,75.080328,185.300003,-2226.3999,11.0797119
75081,75.081322,185.300003,-2226.3999,11.0797119
75082,75.082329,185.300003,-2226.3999,11.0797119
75083,75.083324,185.300003,-2226.3999,11.0797119
75084,75.084323,185.300003,-2226.3999,11.0797119
75085,75.085325,185.300003,-2226.3999,11.0797119
75086,75.086324,185.300003,-2226.3999,11.0797119
75087,75.087359,185.300003,-2226.3999,11.0797119
75088,75.088329,185.300003,-2226.3999,11.0797119
75089,75.089323,185.300003,-2226.3999,11.0797119
75090,75.090322,185.300003,-2226.3999,11.0797119
75091,75.091326,185.300003,-2226.3999,11.0797119
75092,75.092325,185.300003,-2226.3999,11.0797119
75093,75.093329,185.300003,-2226.3999,11.0797119
75094,75.094328,185.300003,-2226.3999,11.0797119
75095,75.095323,185.300003,-2226.3999,11.0797119
75096,75.096322,185.300003,-2226.3999,11.0797119
75097,75.097389,185.300003,-2226.3999,11.0797119
75098,75.098324,185.300003,-2226.3999,11.0797119
75099,75.099329,185.300003,-2226.3999,11.0797119
75100,75.100328,185.300003,-2226.3999,11.0797119
75101,75.101323,185.300003,-2226.3999,11.0797119
75102,75.102323,185.300003,-2226.3999,11.0797119
75103,75.103326,185.300003,-2226.3999,11.0797119
75104,75.104325,185.300003,-2226.3999,11.0797119
75105,75.105329,185.300003,-2226.3999,11.0797119
75106,75.106328,185.300003,-2226.3999,11.0797119
75107,75.107414,185.300003,-2226.3999,11.0797119
75108,75.108326,185.300003,-2226.3999,11.0797119
75109,75.109322,185.300003,-2226.3999,11.0797119
75110,75.110329,185.300003,-2226.3999,11.0797119
75111,75.111324,185.300003,-2226.3999,11.0797119
75112,75.112324,185.300003,-2226.3999,11.0797119
75113,75.113328,185.300003,-2226.3999,11.0797119
75114,75.114327,185.300003,-2226.3999,11.0797119
75115,75.115323,185.300003,-2226.3999,11.0797119
75116,75.116337,185.300003,-2226.3999,11.0797119
75117,75.117328,185.300003,-2226.3999,11.0797119
75118,75.118328,185.300003,-2226.3999,11.0797119
75119,75.119343,185.300003,-2226.3999,11.0797119
75120,75.120323,185.300003,-2226.3999,11.0797119
75121,75.121328,185.300003,-2226.3999,11.0797119
75122,75.122323,185.300003,-2226.3999,11.0797119
75123,75.123329,185.300003,-2226.3999,11.0797119
75124,75.124324,185.300003,-2226.3999,11.0797119
75125,75.125322,185.300003,-2226.3999,11.0797119
75126,75.126325,185.300003,-2226.3999,11.0797119
75127,75.127327,185.300003,-2226.3999,11.0797119
75128,75.128322,185.300003,-2226.3999,11.0797119
75129,75.129344,185.300003,-2226.3999,11.0797119
75130,75.130323,185.300003,-2226.3999,11.0797119
75131,75.131322,185.300003,-2226.3999,11.0797119
75132,75.132325,185.300003,-2226.3999,11.0797119
75133,75.133323,185.300003,-2226.3999,11.0797119
75134,75.134326,185.300003,-2226.3999,11.0797119
75135,75.135325,185.300003,-2226.3999,11.0797119
75136,75.136328,185.300003,-2226.3999,11.0797119
75137,75.137329,185.300003,-2226.3999,11.0797119
