Index,Time,X,Y
5265,102.894000,36.5673523,-447.992462
5266,102.911000,36.5673523,-447.992462
5267,102.936000,36.5673523,-447.992462
5268,102.957000,36.5673523,-447.992462
5269,102.973000,36.5673523,-447.992462
5270,102.991000,36.5673523,-447.992462
5271,103.009000,36.554142,-447.9935
5272,103.032000,36.5200996,-447.994019
5273,103.052000,36.2280006,-448.021973
5274,103.069000,35.9628258,-448.050934
5275,103.088000,35.4731064,-448.111359
5276,103.116000,35.0677261,-448.163208
5277,103.138000,35.0677261,-448.163208
5278,103.164000,34.7451515,-448.201324
5279,103.198000,34.7451515,-448.201324
5280,103.215000,34.5048637,-448.241974
5281,103.235000,34.2915039,-448.275513
5282,103.254000,34.1944771,-448.280579
5283,103.272000,34.0537643,-448.304474
5284,103.289000,33.8851089,-448.326843
5285,103.309000,33.6753082,-448.342621
5286,103.328000,33.5401802,-448.35434
5287,103.344000,33.5330696,-448.378723
5288,103.368000,33.4406166,-448.377716
5289,103.386000,33.3202171,-448.394501
5290,103.405000,33.204895,-448.410797
5291,103.423000,33.1835518,-448.411835
5292,103.445000,33.1185265,-448.410797
5293,103.465000,33.0651855,-448.413818
5294,103.491000,32.9524155,-448.428528
5295,103.509000,32.8995895,-448.439178
5296,103.526000,32.8426895,-448.448334
5297,103.547000,32.788826,-448.451965
5298,103.568000,32.7502174,-448.454041
5299,103.590000,32.6978798,-448.458679
5300,103.611000,32.6511459,-448.465851
5301,103.629000,32.6206703,-448.47049
5302,103.656000,32.5845985,-448.473083
5303,103.675000,32.5607185,-448.47464
5304,103.694000,32.538868,-448.476715
5305,103.721000,32.5088806,-448.479309
5306,103.737000,32.4936295,-448.480347
5307,103.754000,32.4717712,-448.482941
5308,103.776000,32.4524574,-448.485016
5309,103.794000,32.4346657,-448.48761
5310,103.813000,32.4168701,-448.49176
5311,103.832000,32.4011116,-448.495392
5312,103.854000,32.3868828,-448.497467
5313,103.881000,32.3726616,-448.500061
5314,103.901000,32.3635254,-448.501099
5315,103.919000,32.3528557,-448.503693
5316,103.945000,32.3457527,-448.50473
5317,103.962000,32.3401718,-448.505249
5318,103.984000,32.3320541,-448.506805
5319,104.006000,32.3249512,-448.507324
5320,104.028000,32.3229218,-448.507843
5321,104.053000,32.3168335,-448.508362
5322,104.071000,32.3122673,-448.508881
5323,104.094000,32.3046494,-448.509399
5324,104.123000,32.3016052,-448.509918
5325,104.144000,32.2995758,-448.509918
5326,104.162000,32.2965317,-448.509918
5327,104.183000,32.2939949,-448.510437
5328,104.201000,32.2924728,-448.510437
5329,104.230000,32.2889214,-448.511475
5330,104.250000,32.2879066,-448.511993
5331,104.267000,32.2853699,-448.511993
5332,104.289000,32.2802925,-448.512512
5333,104.306000,32.2792778,-448.512512
5334,104.338000,32.2787704,-448.512512
5335,104.355000,32.2787704,-448.512512
5336,104.373000,32.2787704,-448.512512
5337,104.392000,32.2787704,-448.512512
5338,104.410000,32.2787704,-448.512512
5339,104.430000,32.2787704,-448.512512
5340,104.448000,32.2787704,-448.512512
5341,104.469000,32.2787704,-448.512512
5342,104.498000,32.2787704,-448.513031
5343,104.515000,32.2787704,-448.513031
5344,104.534000,32.2787704,-448.513031
5345,104.559000,32.2787704,-448.513031
5346,104.577000,32.2787704,-448.513031
5347,104.596000,32.2787704,-448.513031
5348,104.615000,32.2787704,-448.513031
5349,104.637000,32.2787704,-448.513031
5350,104.654000,32.2787704,-448.513031
5351,104.675000,32.2787704,-448.513031
5352,104.696000,32.2787704,-448.513031
5353,104.718000,32.2787704,-448.513031
5354,104.738000,32.2879143,-448.514069
5355,104.755000,32.3341408,-448.525238
5356,104.778000,32.4474297,-448.532898
5357,104.800000,32.5820427,-448.531891
5358,104.819000,32.7689934,-448.517181
5359,104.842000,32.7735672,-448.515137
5360,104.865000,32.7735672,-448.514618
5361,104.890000,32.7735672,-448.514618
5362,104.907000,32.7735672,-448.514618
5363,104.924000,32.7903328,-448.512085
5364,104.941000,32.8624725,-448.500916
5365,104.960000,32.8731384,-448.49884
5366,104.986000,32.9554329,-448.491638
5367,105.005000,33.022995,-448.483978
5368,105.021000,33.0707474,-448.485016
5369,105.047000,33.1002121,-448.483459
5370,105.064000,33.146946,-448.484955
5371,105.083000,33.4034843,-448.467163
5372,105.114000,33.8048019,-448.44278
5373,105.133000,33.9993668,-448.420868
5374,105.157000,34.1446533,-448.403595
5375,105.175000,34.255394,-448.393494
5376,105.194000,34.4022064,-448.387909
5377,105.215000,34.5733986,-448.373718
5378,105.234000,34.6871948,-448.361053
5379,105.254000,34.7705078,-448.349884
5380,105.275000,34.7893028,-448.345825
5381,105.293000,34.837059,-448.352448
5382,105.315000,34.8863373,-448.350372
5383,105.332000,34.9396706,-448.344757
5384,105.354000,35.023983,-448.331085
5385,105.378000,35.0818977,-448.317902
5386,105.394000,35.1154213,-448.313293
5387,105.414000,35.1479301,-448.311707
5388,105.439000,35.1972046,-448.304535
5389,105.458000,35.235302,-448.297882
5390,105.476000,35.2667999,-448.290802
5391,105.503000,35.3120041,-448.282654
5392,105.521000,35.3363914,-448.278564
5393,105.538000,35.3572273,-448.274933
5394,105.558000,35.3770523,-448.272339
5395,105.577000,35.3933182,-448.269745
5396,105.594000,35.4085655,-448.268188
5397,105.623000,35.4263535,-448.266632
5398,105.641000,35.4395638,-448.265594
5399,105.660000,35.4517517,-448.264557
5400,105.679000,35.4542923,-448.264557
5401,105.698000,35.4542923,-448.264557
5402,105.719000,35.4573364,-448.264038
5403,105.738000,35.4644394,-448.262482
5404,105.756000,35.4715462,-448.261963
5405,105.773000,35.4791565,-448.261963
5406,105.791000,35.4847374,-448.261444
5407,105.808000,35.4908257,-448.260406
5408,105.826000,35.4964066,-448.259888
5409,105.856000,35.5035095,-448.259369
5410,105.877000,35.5090904,-448.25885
5411,105.899000,35.5131493,-448.257294
5412,105.919000,35.5192375,-448.256775
5413,105.937000,35.5217743,-448.256775
5414,105.953000,35.522789,-448.256775
5415,105.975000,35.5253258,-448.256256
5416,105.995000,35.5278625,-448.256256
5417,106.013000,35.553772,-448.225281
5418,106.034000,35.6365776,-448.09375
5419,106.059000,35.6365776,-448.09375
5420,106.079000,35.6223564,-447.970825
5421,106.099000,35.6213455,-447.621338
5422,106.129000,35.6437111,-447.085876
5423,106.147000,35.6396446,-446.929901
5424,106.164000,35.6223717,-446.795288
5425,106.184000,35.6162758,-446.769897
5426,106.206000,35.6162758,-446.769897
5427,106.231000,35.6604729,-446.518951
5428,106.250000,35.668602,-446.447845
5429,106.269000,35.665554,-446.337585
5430,106.287000,35.6736832,-446.12973
5431,106.307000,35.6675835,-445.983429
5432,106.323000,35.6508179,-445.727386
5433,106.351000,35.6482773,-445.621704
5434,106.369000,35.6528511,-445.460693
5435,106.388000,35.654377,-445.107147
5436,106.410000,35.6879044,-444.749512
5437,106.426000,35.7097473,-444.594025
5438,106.444000,35.7097473,-444.594025
5439,106.462000,35.7097473,-444.594025
5440,106.480000,35.70924,-444.556427
5441,106.499000,35.7163544,-444.04538
5442,106.520000,35.7432823,-443.312897
5443,106.538000,35.7458229,-442.630646
5444,106.562000,35.796627,-441.80365
5445,106.579000,35.8042488,-441.49527
5446,106.601000,35.7905273,-440.970001
5447,106.626000,35.8204994,-440.018555
5448,106.644000,35.854023,-439.379028
5449,106.664000,35.8646889,-438.67038
5450,106.682000,35.8489342,-438.011475
5451,106.700000,35.8611336,-437.291595
5452,106.722000,35.8834915,-436.487396
5453,106.743000,35.8961983,-435.814819
5454,106.761000,35.8733368,-435.148346
5455,106.788000,35.8321991,-434.093201
5456,106.807000,35.85252,-433.396698
5457,106.826000,35.890625,-432.792694
5458,106.850000,35.8911324,-432.522949
5459,106.879000,35.9419403,-431.131042
5460,106.902000,35.9627724,-429.727448
5461,106.924000,35.9780121,-429.184357
5462,106.948000,36.0252571,-427.973267
5463,106.965000,36.02882,-427.092346
5464,106.985000,36.0333939,-426.002686
5465,107.003000,36.0471115,-425.024811
5466,107.020000,36.0908089,-424.042816
5467,107.038000,36.098938,-423.411377
5468,107.056000,36.1065636,-422.614288
5469,107.074000,36.1400986,-421.823303
5470,107.092000,36.175663,-420.854523
5471,107.120000,36.1573715,-420.240875
5472,107.137000,36.1538162,-419.647491
5473,107.154000,36.1507721,-419.022644
5474,107.174000,36.1502609,-418.142761
5475,107.192000,36.1517792,-417.09375
5476,107.211000,36.2041054,-416.058899
5477,107.229000,36.2366219,-415.273102
5478,107.245000,36.2371368,-414.651276
5479,107.262000,36.2305298,-414.580658
5480,107.281000,36.242218,-413.892303
5481,107.299000,36.2508583,-411.885162
5482,107.335000,36.2178383,-410.709106
5483,107.357000,36.2376518,-409.794128
5484,107.375000,36.2061501,-408.650116
5485,107.392000,36.2132683,-407.472565
5486,107.410000,36.2102165,-406.15683
5487,107.428000,36.2259674,-404.836548
5488,107.446000,36.2229233,-403.461884
5489,107.464000,36.2280083,-402.075043
5490,107.482000,36.2173386,-400.804016
5491,107.504000,36.249855,-399.241974
5492,107.521000,36.2742424,-398.07663
5493,107.539000,36.2838974,-397.772308
5494,107.560000,36.2874527,-397.535583
5495,107.578000,36.3092957,-396.289978
5496,107.597000,36.3082771,-395.797241
5497,107.622000,36.3407936,-394.678589
5498,107.640000,36.3611221,-393.686951
5499,107.659000,36.4195442,-392.402191
5500,107.675000,36.4449463,-391.258148
5501,107.691000,36.5048904,-390.013489
5502,107.707000,36.5465469,-388.823242
5503,107.724000,36.5744934,-387.457733
5504,107.744000,36.6298676,-386.145599
5505,107.760000,36.641552,-384.952301
5506,107.783000,36.6410446,-383.188049
5507,107.801000,36.6776199,-381.842346
5508,107.819000,36.6776199,-380.553009
5509,107.841000,36.7147064,-378.983826
5510,107.859000,36.7370605,-377.802704
5511,107.877000,36.7345276,-376.110046
5512,107.900000,36.7863426,-374.819702
5513,107.918000,36.7980309,-373.538513
5514,107.937000,36.8341064,-372.09726
5515,107.955000,36.8843994,-370.922729
5516,107.973000,36.8925285,-370.018494
5517,107.990000,36.9057426,-369.229553
5518,108.009000,36.9626427,-367.899628
5519,108.026000,37.00634,-366.0383
5520,108.050000,37.0535851,-364.836823
5521,108.068000,37.0571404,-363.488556
5522,108.087000,37.0866165,-361.719208
5523,108.108000,37.0901718,-360.383698
5524,108.133000,37.1257286,-358.686493
5525,108.149000,37.1211586,-357.467773
5526,108.165000,37.1104889,-356.106354
5527,108.185000,37.1038895,-355.501862
5528,108.202000,37.1130333,-354.822693
5529,108.223000,37.0972862,-354.163788
5530,108.241000,37.1496124,-352.876526
5531,108.259000,37.1719666,-352.209534
5532,108.276000,37.2192078,-351.250916
5533,108.294000,37.2608681,-350.119568
5534,108.313000,37.320816,-348.726105
5535,108.330000,37.3182755,-347.600891
5536,108.354000,37.3299675,-345.826935
5537,108.378000,37.3721313,-344.100739
5538,108.399000,37.414814,-342.447693
5539,108.417000,37.387886,-341.003479
5540,108.434000,37.3985558,-339.58667
5541,108.458000,37.3817902,-338.308533
5542,108.475000,37.3934746,-337.602356
5543,108.494000,37.4127769,-336.436981
5544,108.513000,37.4188766,-335.22995
5545,108.530000,37.4468193,-334.033051
5546,108.554000,37.4640846,-332.097107
5547,108.571000,37.4859314,-330.901733
5548,108.591000,37.5133667,-329.602264
5549,108.615000,37.5529976,-327.847687
5550,108.635000,37.54842,-326.762115
5551,108.652000,37.5545158,-325.644989
5552,108.672000,37.5524826,-324.807281
5553,108.691000,37.5585785,-323.760284
5554,108.709000,37.5616264,-322.586823
5555,108.724000,37.5753517,-321.432587
5556,108.744000,37.5875397,-320.106232
5557,108.761000,37.5905876,-318.777771
5558,108.782000,37.6175079,-317.141998
5559,108.800000,37.6230965,-316.155945
5560,108.819000,37.6688194,-314.991608
5561,108.836000,37.7155571,-313.578857
5562,108.856000,37.7277489,-312.306824
5563,108.873000,37.7292747,-311.703339
5564,108.890000,37.7323189,-311.248169
5565,108.908000,37.7399406,-311.012939
5566,108.926000,37.7755051,-309.736877
5567,108.946000,37.8034515,-308.865173
5568,108.963000,37.8181801,-308.248962
5569,108.983000,37.825798,-307.749115
5570,109.002000,37.8298645,-307.214691
5571,109.019000,37.8491707,-305.914215
5572,109.038000,37.8700027,-304.590393
5573,109.056000,37.863903,-303.266113
5574,109.074000,37.9035301,-301.929535
5575,109.093000,37.9355354,-300.584839
5576,109.118000,37.9868355,-298.725067
5577,109.136000,38.0051308,-297.459198
5578,109.156000,38.0528908,-296.084045
5579,109.174000,38.0884552,-294.880096
5580,109.191000,38.1255341,-293.601959
5581,109.210000,38.1631241,-292.098267
5582,109.228000,38.1824379,-290.871979
5583,109.247000,38.2342606,-289.388123
5584,109.267000,38.29776,-287.930664
5585,109.284000,38.3297691,-286.503204
5586,109.307000,38.3871727,-285.067596
5587,109.325000,38.4049492,-283.905823
5588,109.348000,38.4537163,-282.106995
5589,109.368000,38.4892731,-280.775513
5590,109.386000,38.5248375,-279.470978
5591,109.403000,38.5593796,-278.132446
5592,109.421000,38.5929108,-276.890869
5593,109.440000,38.653862,-275.417114
5594,109.460000,38.7026367,-273.917969
5595,109.480000,38.7590218,-272.48999
5596,109.497000,38.8011894,-271.440002
5597,109.514000,38.8479271,-270.035858
5598,109.534000,38.8591042,-269.279968
5599,109.552000,38.9114304,-268.073975
5600,109.571000,38.975441,-266.834473
5601,109.599000,38.9871254,-266.564209
5602,109.620000,38.996273,-265.812347
5603,109.637000,39.041481,-264.617004
5604,109.654000,39.0922775,-263.311951
5605,109.671000,39.1334229,-261.92865
5606,109.691000,39.1867599,-260.683044
5607,109.715000,39.2004852,-259.444031
5608,109.732000,39.2330055,-258.320343
5609,109.750000,39.3132744,-256.979248
5610,109.769000,39.3442688,-255.477142
5611,109.787000,39.3762703,-254.104004
5612,109.804000,39.396595,-252.83197
5613,109.824000,39.4773674,-251.238876
5614,109.846000,39.574398,-249.787521
5615,109.865000,39.624691,-248.139069
5616,109.882000,39.6790466,-247.131699
5617,109.900000,39.7349281,-245.813934
5618,109.919000,39.7303581,-244.271652
5619,109.939000,39.7532196,-242.856873
5620,109.956000,39.7557564,-242.222885
5621,109.975000,39.7638855,-241.554367
5622,109.993000,39.782177,-240.979309
5623,110.011000,39.8116379,-240.666885
5624,110.028000,39.8116379,-240.666885
5625,110.048000,39.8116379,-240.666885
5626,110.065000,39.824337,-240.248291
5627,110.091000,39.9249229,-238.530243
5628,110.112000,39.9879227,-236.88942
5629,110.130000,40.0488777,-235.828705
5630,110.147000,40.0991745,-234.498749
5631,110.166000,40.1393127,-233.240936
5632,110.183000,40.1763992,-231.397934
5633,110.209000,40.2327919,-229.651428
5634,110.233000,40.2515907,-228.467285
5635,110.252000,40.2485466,-227.161713
5636,110.268000,40.2658234,-225.847031
5637,110.288000,40.2439728,-224.439362
5638,110.319000,40.2490501,-222.238708
5639,110.348000,40.2876549,-220.206711
5640,110.371000,40.3496323,-218.215851
5641,110.390000,40.374527,-217.106369
5642,110.407000,40.376564,-215.924255
5643,110.426000,40.4258461,-214.563324
5644,110.444000,40.4502296,-213.316208
5645,110.462000,40.4796944,-212.067551
5646,110.479000,40.5122108,-210.790939
5647,110.498000,40.5213585,-209.487427
5648,110.515000,40.5366058,-208.28447
5649,110.534000,40.5249176,-206.915405
5650,110.551000,40.5284729,-206.565903
5651,110.568000,40.5015488,-205.866379
5652,110.589000,40.4736099,-205.633194
5653,110.613000,40.4985046,-204.22551
5654,110.640000,40.5432129,-202.609039
5655,110.663000,40.5427055,-202.545044
5656,110.684000,40.5498199,-202.022324
5657,110.706000,40.5508347,-202.022324
5658,110.723000,40.5508347,-202.022324
5659,110.742000,40.5625191,-201.239471
