x,y,1.444,-0.084,-1.489,0
-4671.18,-1490.15,1.444,0.134,-1.253,-0.001
-4671.124,-1490.044,1.444,0.688,0.027,-0.003
-4671.162,-1489.946,1.444,0.193,1.025,-0.001
-4671.258,-1490.05,1.444,-0.826,-0.195,-0.003
-4671.202,-1489.969,1.444,-0.124,0.669,-0.002
-4671.192,-1490.024,1.443,-0.005,0.009,-0.011
-4671.178,-1490.036,1.442,0.138,-0.122,-0.013
-4671.079,-1490.119,1.442,1.141,-0.956,-0.013
-4671.134,-1490.203,1.443,0.407,-1.676,-0.006
-4671.202,-1490.208,1.443,-0.349,-1.48,0.001
-4671.188,-1490.231,1.443,-0.156,-1.508,-0.004
-4671.165,-1490.256,1.444,0.106,-1.543,0.009
-4671.217,-1490.218,1.444,-0.451,-0.919,0.009
-4671.274,-1490.294,1.443,-0.972,-1.57,-0.001
-4671.237,-1490.286,1.443,-0.441,-1.26,-0.001
-4671.179,-1490.335,1.443,0.214,-1.576,-0.003
-4671.185,-1490.352,1.444,0.126,-1.52,0.003
-4671.22,-1490.362,1.443,-0.256,-1.392,-0.005
-4671.195,-1490.319,1.443,0.039,-0.745,-0.006
-4671.212,-1490.318,1.442,-0.146,-0.633,-0.014
-4671.233,-1490.392,1.441,-0.338,-1.301,-0.018
-4671.234,-1490.397,1.442,-0.302,-1.156,-0.012
-4671.154,-1490.385,1.442,0.573,-0.869,-0.002
-4671.173,-1490.302,1.442,0.291,0.118,-0.006
-4671.204,-1490.321,1.442,-0.07,-0.099,-0.006
-4671.223,-1490.361,1.442,-0.258,-0.496,-0.001
-4671.218,-1490.329,1.443,-0.165,-0.089,0.005
-4671.199,-1490.39,1.443,0.058,-0.7,0.006
-4671.213,-1490.312,1.443,-0.097,0.205,0.003
-4671.212,-1490.302,1.443,-0.076,0.279,0.002
-4671.205,-1490.283,1.443,0.009,0.43,0.005
-4671.198,-1490.279,1.443,0.085,0.404,0.006
-4671.147,-1490.315,1.444,0.588,-0.026,0.01
-4671.147,-1490.353,1.444,0.506,-0.415,0.007
-4671.187,-1490.256,1.445,0.019,0.644,0.015
-4671.282,-1490.1,1.445,-0.959,2.158,0.017
-4671.282,-1490.106,1.446,-0.825,1.784,0.021
-4671.345,-1490.159,1.445,-1.348,0.971,0.01
-4671.356,-1490.214,1.444,-1.268,0.267,-0.004
-4671.308,-1489.672,1.442,-0.584,5.809,-0.022
-4671.502,-1488.645,1.441,-2.495,15.518,-0.026
-4671.384,-1487.127,1.44,-0.915,28.863,-0.033
-4671.206,-1485.059,1.439,1.062,45.909,-0.033
-4671.009,-1482.47,1.439,2.924,65.809,-0.027
-4670.604,-1479.486,1.44,6.669,86.85,-0.02
-4670.284,-1476.282,1.441,8.983,107.062,-0.007
-4669.878,-1472.946,1.441,11.834,125.658,-0.004
-4669.562,-1469.619,1.442,13.349,141.429,0.002
-4669.138,-1466.427,1.442,15.753,153.494,0.004
-4668.694,-1463.324,1.442,18.004,162.864,0.001
-4668.17,-1460.328,1.443,20.752,169.753,0.01
-4667.531,-1457.506,1.443,24.278,173.838,0.01
-4666.752,-1454.671,1.442,28.73,177.462,0.005
-4665.937,-1451.984,1.443,32.902,179.02,0.013
-4665.003,-1449.485,1.444,37.666,178.422,0.02
-4664.1,-1446.876,1.447,41.43,179.038,0.041
-4663.27,-1444.311,1.448,43.877,179.116,0.044
-4662.556,-1441.659,1.447,44.78,180.079,0.034
-4661.934,-1439.068,1.447,44.599,180.262,0.024
-4661.374,-1436.5,1.447,43.803,180.195,0.023
-4660.635,-1433.932,1.448,44.967,180.125,0.025
-4659.949,-1431.37,1.447,45.418,180.018,0.015
-4659.189,-1429.025,1.447,46.557,177.68,0.01
-4658.401,-1426.62,1.446,47.826,176.312,-0.001
-4657.685,-1424.289,1.445,48.163,174.376,-0.003
-4656.971,-1421.905,1.446,48.432,173.271,-0.001
-4656.166,-1419.442,1.445,49.601,173.144,-0.004
-4655.514,-1416.953,1.445,49.009,173.304,-0.009
-4655.01,-1414.315,1.444,46.996,174.975,-0.013
-4654.23,-1411.725,1.444,48.108,175.902,-0.011
-4653.51,-1409.243,1.444,48.447,175.592,-0.008
-4652.744,-1406.777,1.445,49.209,175.147,-0.002
-4651.814,-1404.184,1.445,51.546,176.09,-0.002
-4650.969,-1401.744,1.445,52.661,175.307,0.001
-4650.176,-1399.32,1.445,53.078,174.479,0.005
-4649.555,-1396.877,1.446,51.669,173.966,0.005
-4648.927,-1394.475,1.446,50.535,173.109,0.006
-4648.43,-1392.215,1.446,48.218,170.92,0.004
-4647.938,-1389.881,1.446,46.201,169.817,0.004
-4647.373,-1387.467,1.446,45.222,169.689,0.007
-4646.709,-1385.036,1.446,45.399,169.756,0.008
-4645.942,-1382.475,1.446,46.618,171.16,0.008
-4645.196,-1379.927,1.447,47.447,172.216,0.01
-4644.41,-1377.422,1.446,48.558,172.685,0.005
-4643.653,-1374.932,1.447,49.213,172.912,0.006
-4642.89,-1372.501,1.447,49.829,172.516,0.006
-4642.176,-1369.935,1.446,49.847,173.554,0
-4641.554,-1367.563,1.445,48.919,172.452,-0.008
-4640.875,-1365.188,1.445,48.722,171.538,-0.013
