-5360.227,-1747.171,-1.473,74.707,-1090.734,-0.044
-5359.193,-1762.751,-1.475,74.367,-1090.720,-0.056
-5358.213,-1778.377,-1.476,73.515,-1091.173,-0.055
-5357.163,-1794.036,-1.478,73.517,-1091.903,-0.061
-5356.137,-1809.590,-1.481,73.268,-1091.441,-0.081
-5355.470,-1825.121,-1.482,69.357,-1090.816,-0.082
-5354.412,-1840.859,-1.483,70.050,-1092.408,-0.079
-5353.571,-1856.579,-1.483,68.403,-1093.583,-0.067
-5352.723,-1872.375,-1.482,67.075,-1095.376,-0.050
-5351.787,-1888.057,-1.482,66.846,-1095.724,-0.042
-5350.978,-1903.863,-1.483,65.347,-1097.289,-0.047
-5350.029,-1919.566,-1.482,65.505,-1097.574,-0.033
-5349.271,-1935.434,-1.482,63.674,-1099.519,-0.027
-5348.693,-1951.119,-1.481,60.253,-1099.279,-0.012
-5347.813,-1966.766,-1.481,60.455,-1098.694,-0.004
-5347.055,-1982.408,-1.480,59.366,-1098.143,0.004
-5346.199,-1998.004,-1.479,59.451,-1097.198,0.014
-5345.451,-2013.561,-1.479,58.408,-1095.997,0.013
-5344.688,-2029.172,-1.479,57.674,-1095.519,0.005
-5343.798,-2044.576,-1.479,58.345,-1092.984,0.003
-5343.028,-2060.140,-1.480,57.693,-1092.469,-0.008
-5342.306,-2075.661,-1.481,56.649,-1091.580,-0.016
-5341.496,-2091.101,-1.482,56.650,-1090.004,-0.017
-5340.863,-2106.803,-1.482,54.842,-1091.350,-0.016
-5340.110,-2122.352,-1.482,54.528,-1090.909,-0.015
-5339.094,-2137.798,-1.483,56.960,-1089.494,-0.027
-5338.483,-2153.443,-1.484,54.874,-1090.324,-0.024
-5337.559,-2169.049,-1.484,56.320,-1090.631,-0.020
-5336.687,-2184.594,-1.485,57.014,-1090.270,-0.027
-5335.931,-2200.160,-1.484,56.413,-1090.170,-0.021
-5335.041,-2215.867,-1.484,57.280,-1091.539,-0.016
-5334.245,-2231.561,-1.485,57.050,-1092.578,-0.018
-5333.413,-2247.385,-1.486,57.224,-1094.801,-0.031
-5332.649,-2263.180,-1.485,56.674,-1096.388,-0.016
-5331.783,-2278.760,-1.486,57.254,-1095.535,-0.016
-5330.759,-2294.240,-1.486,59.371,-1093.790,-0.014
-5329.887,-2309.717,-1.486,59.617,-1092.259,-0.021
-5328.989,-2325.199,-1.487,60.092,-1091.006,-0.019
